state_district,bioguide_id,sortable_name,full_name,title,first_name,middle_name,last_name,suffix,official_name,formal_name,prior_congress,party,caucus,state_code,state,district,town,office_building,office_room,office_zip,office_zip_suffix,phone,last_elected_date,sworn_date
AK00,P000619,"PELTOLA,MARY","Peltola, Mary",Mrs.,Mary,Sattler,Peltola,,Mary Sattler Peltola,Mrs. Peltola,0,D,D,AK,Alaska,At Large,Bethel,RHOB,2314,20515,0200,(202) 225-5765,20220816,20220913
AL01,C001054,"CARL,JERRY","Carl, Jerry",Mr.,Jerry,L.,Carl,,Jerry L. Carl,Mr. Carl,0,R,R,AL,Alabama,1st,Mobile,LHOB,1330,20515,0101,(202) 225-4931,20201103,20210103
AL02,M001212,"MOORE,BARRY","Moore, Barry",Mr.,Barry,,Moore,,Barry Moore,Mr. Moore of Alabama,0,R,R,AL,Alabama,2nd,Enterprise,LHOB,1504,20515,0102,(202) 225-2901,20201103,20210103
AL03,R000575,"ROGERS,MIKE","Rogers, Mike",Mr.,Mike,,Rogers,,Mike Rogers,Mr. Rogers of Alabama,116,R,R,AL,Alabama,3rd,Weaver,RHOB,2469,20515,0103,(202) 225-3261,20201103,20210103
AL04,A000055,"ADERHOLT,ROBERT","Aderholt, Robert",Mr.,Robert,B.,Aderholt,,Robert B. Aderholt,Mr. Aderholt,116,R,R,AL,Alabama,4th,Haleyville,CHOB,266,20515,0104,(202) 225-4876,20201103,20210103
AL05,B001274,"BROOKS,MO","Brooks, Mo",Mr.,Mo,,Brooks,,Mo Brooks,Mr. Brooks,116,R,R,AL,Alabama,5th,Huntsville,RHOB,2185,20515,0105,(202) 225-4801,20201103,20210103
AL06,P000609,"PALMER,GARY","Palmer, Gary",Mr.,Gary,J.,Palmer,,Gary J. Palmer,Mr. Palmer,116,R,R,AL,Alabama,6th,Hoover,CHOB,170,20515,0106,(202) 225-4921,20201103,20210103
AL07,S001185,"SEWELL,TERRI","Sewell, Terri",Ms.,Terri,A.,Sewell,,Terri Sewell,Ms. Sewell,116,D,D,AL,Alabama,7th,Birmingham,RHOB,2201,20515,0107,(202) 225-2665,20201103,20210103
AR01,C001087,"CRAWFORD,ERIC","Crawford, Eric",Mr.,Eric,"A. ""Rick""",Crawford,,"Eric A. ""Rick"" Crawford",Mr. Crawford,116,R,R,AR,Arkansas,1st,Jonesboro,RHOB,2422,20515,0401,(202) 225-4076,20201103,20210103
AR02,H001072,"HILL,J.","Hill, J.",Mr.,J.,French,Hill,,J. French Hill,Mr. Hill,116,R,R,AR,Arkansas,2nd,Little Rock,LHOB,1533,20515,0402,(202) 225-2506,20201103,20210103
AR03,W000809,"WOMACK,STEVE","Womack, Steve",Mr.,Steve,,Womack,,Steve Womack,Mr. Womack,116,R,R,AR,Arkansas,3rd,Rogers,RHOB,2412,20515,0403,(202) 225-4301,20201103,20210103
AR04,W000821,"WESTERMAN,BRUCE","Westerman, Bruce",Mr.,Bruce,,Westerman,,Bruce Westerman,Mr. Westerman,116,R,R,AR,Arkansas,4th,Hot Springs,CHOB,202,20515,0404,(202) 225-3772,20201103,20210103
AQ00,R000600,"RADEWAGEN,AUMUAAMATA","Radewagen, Aumua Amata",Mrs.,Aumua Amata,Coleman,Radewagen,,Aumua Amata Coleman Radewagen,Mrs. Radewagen,116,R,R,AS,American Samoa,Delegate,Pago Pago,LHOB,1339,20515,5200,(202) 225-8577,20201103,20210103
AZ01,O000171,"OHALLERAN,TOM","O'Halleran, Tom",Mr.,Tom,,O'Halleran,,Tom O'Halleran,Mr. O'Halleran,116,D,D,AZ,Arizona,1st,Sedona,CHOB,318,20515,0301,(202) 225-3361,20201103,20210103
AZ02,K000368,"KIRKPATRICK,ANN","Kirkpatrick, Ann",Mrs.,Ann,,Kirkpatrick,,Ann Kirkpatrick,Mrs. Kirkpatrick,116,D,D,AZ,Arizona,2nd,Tucson,CHOB,309,20515,0302,(202) 225-2542,20201103,20210103
AZ03,G000551,"GRIJALVA,RAUL","Grijalva, Raúl",Mr.,Raúl,M.,Grijalva,,Raúl M. Grijalva,Mr. Grijalva,116,D,D,AZ,Arizona,3rd,Tucson,LHOB,1511,20515,0303,(202) 225-2435,20201103,20210103
AZ04,G000565,"GOSAR,PAUL","Gosar, Paul",Mr.,Paul,A.,Gosar,,Paul A. Gosar,Mr. Gosar,116,R,R,AZ,Arizona,4th,Bullhead City,RHOB,2057,20515,0304,(202) 225-2315,20201103,20210103
AZ05,B001302,"BIGGS,ANDY","Biggs, Andy",Mr.,Andy,,Biggs,,Andy Biggs,Mr. Biggs,116,R,R,AZ,Arizona,5th,Gilbert,CHOB,171,20515,0305,(202) 225-2635,20201103,20210103
AZ06,S001183,"SCHWEIKERT,DAVID","Schweikert, David",Mr.,David,,Schweikert,,David Schweikert,Mr. Schweikert,116,R,R,AZ,Arizona,6th,Fountain Hills,CHOB,304,20515,0306,(202) 225-2190,20201103,20210103
AZ07,G000574,"GALLEGO,RUBEN","Gallego, Ruben",Mr.,Ruben,,Gallego,,Ruben Gallego,Mr. Gallego,116,D,D,AZ,Arizona,7th,Phoenix,LHOB,1131,20515,0307,(202) 225-4065,20201103,20210103
AZ08,L000589,"LESKO,DEBBIE","Lesko, Debbie",Mrs.,Debbie,,Lesko,,Debbie Lesko,Mrs. Lesko,116,R,R,AZ,Arizona,8th,Peoria,LHOB,1214,20515,0308,(202) 225-4576,20201103,20210103
AZ09,S001211,"STANTON,GREG","Stanton, Greg",Mr.,Greg,,Stanton,,Greg Stanton,Mr. Stanton,116,D,D,AZ,Arizona,9th,Phoenix,CHOB,207,20515,0309,(202) 225-9888,20201103,20210103
CA01,L000578,"LAMALFA,DOUG","LaMalfa, Doug",Mr.,Doug,,LaMalfa,,Doug LaMalfa,Mr. LaMalfa,116,R,R,CA,California,1st,Oroville,CHOB,408,20515,0501,(202) 225-3076,20201103,20210103
CA02,H001068,"HUFFMAN,JARED","Huffman, Jared",Mr.,Jared,,Huffman,,Jared Huffman,Mr. Huffman,116,D,D,CA,California,2nd,San Rafael,LHOB,1527,20515,0502,(202) 225-5161,20201103,20210103
CA03,G000559,"GARAMENDI,JOHN","Garamendi, John",Mr.,John,,Garamendi,,John Garamendi,Mr. Garamendi,116,D,D,CA,California,3rd,Walnut Grove,RHOB,2368,20515,0503,(202) 225-1880,20201103,20210103
CA04,M001177,"MCCLINTOCK,TOM","McClintock, Tom",Mr.,Tom,,McClintock,,Tom McClintock,Mr. McClintock,116,R,R,CA,California,4th,Elk Grove,RHOB,2312,20515,0504,(202) 225-2511,20201103,20210103
CA05,T000460,"THOMPSON,MIKE","Thompson, Mike",Mr.,Mike,,Thompson,,Mike Thompson,Mr. Thompson of California,116,D,D,CA,California,5th,St. Helena,CHOB,268,20515,0505,(202) 225-3311,20201103,20210103
CA06,M001163,"MATSUI,DORIS","Matsui, Doris",Ms.,Doris,O.,Matsui,,Doris O. Matsui,Ms. Matsui,116,D,D,CA,California,6th,Sacramento,RHOB,2311,20515,0506,(202) 225-7163,20201103,20210103
CA07,B001287,"BERA,AMI","Bera, Ami",Mr.,Ami,,Bera,,Ami Bera,Mr. Bera,116,D,D,CA,California,7th,Elk Grove,CHOB,172,20515,0507,(202) 225-5716,20201103,20210103
CA08,O000019,"OBERNOLTE,JAY","Obernolte, Jay",Mr.,Jay,,Obernolte,,Jay Obernolte,Mr. Obernolte,0,R,R,CA,California,8th,Big Bear Lake,LHOB,1029,20515,0508,(202) 225-5861,20201103,20210103
