state_district,bioguide_id,full_name,formal_name,title,first_name,middle_name,last_name,suffix,sortable_name,prior_congress,official_name,party,caucus,state_code,state,district,town,office_building,office_room,office_zip,office_zip_suffix,phone,last_elected_date,sworn_date
AK00,Y000033,"Young, Don",Mr. Young,Mr.,Don,,Young,,"YOUNG,DON",115,Don Young,R,R,AK,Alaska,At Large,Fort Yukon,RHOB,2314,20515,0200,(202) 225-5765,20181106,20190103
AL01,B001289,"Byrne, Bradley",Mr. Byrne,Mr.,Bradley,,Byrne,,"BYRNE,BRADLEY",115,Bradley Byrne,R,R,AL,Alabama,1st,Fairhope,CHOB,119,20515,0101,(202) 225-4931,20181106,20190103
AL02,R000591,"Roby, Martha",Mrs. Roby,Mrs.,Martha,,Roby,,"ROBY,MARTHA",115,Martha Roby,R,R,AL,Alabama,2nd,Montgomery,CHOB,504,20515,0102,(202) 225-2901,20181106,20190103
AL03,R000575,"Rogers, Mike",Mr. Rogers of Alabama,Mr.,Mike,,Rogers,,"ROGERS,MIKE",115,Mike Rogers,R,R,AL,Alabama,3rd,Anniston,RHOB,2184,20515,0103,(202) 225-3261,20181106,20190103
AL04,A000055,"Aderholt, Robert",Mr. Aderholt,Mr.,Robert,B.,Aderholt,,"ADERHOLT,ROBERT",115,Robert B. Aderholt,R,R,AL,Alabama,4th,Haleyville,LHOB,1203,20515,0104,(202) 225-4876,20181106,20190103
AL05,B001274,"Brooks, Mo",Mr. Brooks of Alabama,Mr.,Mo,,Brooks,,"BROOKS,MO",115,Mo Brooks,R,R,AL,Alabama,5th,Huntsville,RHOB,2246,20515,0105,(202) 225-4801,20181106,20190103
AL06,P000609,"Palmer, Gary",Mr. Palmer,Mr.,Gary,J.,Palmer,,"PALMER,GARY",115,Gary J. Palmer,R,R,AL,Alabama,6th,Hoover,CHOB,207,20515,0106,(202) 225-4921,20181106,20190103
AL07,S001185,"Sewell, Terri",Ms. Sewell of Alabama,Ms.,Terri,A.,Sewell,,"SEWELL,TERRI",115,Terri A. Sewell,D,D,AL,Alabama,7th,Birmingham,RHOB,2201,20515,0107,(202) 225-2665,20181106,20190103
AR01,C001087,"Crawford, Eric",Mr. Crawford,Mr.,Eric,"A. ""Rick""",Crawford,,"CRAWFORD,ERIC",115,"Eric A. ""Rick"" Crawford",R,R,AR,Arkansas,1st,Jonesboro,RHOB,2422,20515,0401,(202) 225-4076,20181106,20190103
AR02,H001072,"Hill, J.",Mr. Hill of Arkansas,Mr.,J.,French,Hill,,"HILL,J.",115,J. French Hill,R,R,AR,Arkansas,2nd,Little Rock,LHOB,1533,20515,0402,(202) 225-2506,20181106,20190103
AR03,W000809,"Womack, Steve",Mr. Womack,Mr.,Steve,,Womack,,"WOMACK,STEVE",115,Steve Womack,R,R,AR,Arkansas,3rd,Rogers,RHOB,2412,20515,0403,(202) 225-4301,20181106,20190103
AR04,W000821,"Westerman, Bruce",Mr. Westerman,Mr.,Bruce,,Westerman,,"WESTERMAN,BRUCE",115,Bruce Westerman,R,R,AR,Arkansas,4th,Hot Springs,CHOB,209,20515,0404,(202) 225-3772,20181106,20190103
AQ00,R000600,"Radewagen, Aumua Amata",Mrs. Radewagen,Mrs.,Aumua Amata,Coleman,Radewagen,,"RADEWAGEN,AUMUAAMATA",115,Aumua Amata Coleman Radewagen,R,R,AS,American Samoa,Delegate,Pago Pago,LHOB,1339,20515,5200,(202) 225-8577,20181106,20190103
