subcode,subcomname,parent_com,parent_com_code,building,room,phone,majority,minority
AG03,"Nutrition, Oversight, and Department Operations",Committee on Agriculture,AG00,LHOB,1301,225-2171,8,6
AG14,"Biotechnology, Horticulture, and Research",Committee on Agriculture,AG00,LHOB,1301,225-2171,12,9
AG15,Conservation and Forestry,Committee on Agriculture,AG00,LHOB,1301,225-2171,5,4
AG16,General Farm Commodities and Risk Management,Committee on Agriculture,AG00,LHOB,1301,225-2171,6,5
AG22,"Commodity Exchanges, Energy, and Credit",Committee on Agriculture,AG00,LHOB,1301,225-2171,10,8
AG29,Livestock and Foreign Agriculture,Committee on Agriculture,AG00,LHOB,1301,225-2171,11,9
AP01,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Committee on Appropriations,AP00,RHOB,2362A,225-2638,7,4
AP02,Defense,Committee on Appropriations,AP00,C,H405,225-2847,11,7
AP04,"State, Foreign Operations, and Related Programs",Committee on Appropriations,AP00,C,HT2,225-2041,6,3
AP06,"Interior, Environment, and Related Agencies",Committee on Appropriations,AP00,RHOB,2007,225-3081,7,4
AP07,"Labor, Health and Human Services, Education, and Related Agencies",Committee on Appropriations,AP00,RHOB,2358B,225-3508,8,5
AP10,"Energy and Water Development, and Related Agencies",Committee on Appropriations,AP00,RHOB,2362B,225-3421,7,4
AP15,Homeland Security,Committee on Appropriations,AP00,RHOB,2006,225-5834,7,4
AP18,"Military Construction, Veterans Affairs, and Related Agencies",Committee on Appropriations,AP00,C,HT2,225-3047,7,4
AP19,"Commerce, Justice, Science, and Related Agencies",Committee on Appropriations,AP00,C,H310,225-3351,7,4
AP20,"Transportation, and Housing and Urban Development, and Related Agencies",Committee on Appropriations,AP00,RHOB,2358A,225-2141,7,4
AP23,Financial Services and General Government,Committee on Appropriations,AP00,RHOB,2000,225-7245,7,4
AP24,Legislative Branch,Committee on Appropriations,AP00,C,H306,226-7252,4,2
AS02,Military Personnel,Committee on Armed Services,AS00,RHOB,2340,225-7560,8,6
AS03,Readiness,Committee on Armed Services,AS00,RHOB,2340,226-8979,10,8
AS25,Tactical Air and Land Forces,Committee on Armed Services,AS00,RHOB,2340,225-4440,11,9
AS26,Intelligence and Emerging Threats and Capabilities,Committee on Armed Services,AS00,RHOB,2340,226-2843,12,10
AS28,Seapower and Projection Forces,Committee on Armed Services,AS00,RHOB,2340,226-2211,11,9
AS29,Strategic Forces,Committee on Armed Services,AS00,RHOB,2340,225-1967,10,8
BA01,"National Security, International Development, and Monetary Policy",Committee on Financial Services,BA00,RHOB,2129,225-4247,13,9
BA04,"Housing, Community Development, and Insurance",Committee on Financial Services,BA00,RHOB,2129,225-4247,13,10
BA09,Oversight and Investigations,Committee on Financial Services,BA00,RHOB,2129,225-4247,10,7
BA13,Diversity and Inclusion,Committee on Financial Services,BA00,RHOB,2129,225-4247,12,9
BA15,Consumer Protection and Financial Institutions,Committee on Financial Services,BA00,RHOB,2129,225-4247,13,10
BA16,"Investor Protection, Entrepreneurship, and Capital Markets",Committee on Financial Services,BA00,RHOB,2129,225-4247,14,10
ED02,"Health, Employment, Labor, and Pensions",Committee on Education and Labor,ED00,RHOB,2176,225-3725,14,11
ED07,Civil Rights and Human Services,Committee on Education and Labor,ED00,RHOB,2176,225-3725,7,4
ED10,Workforce Protections,Committee on Education and Labor,ED00,RHOB,2176,225-3725,8,5
ED13,Higher Education and Workforce Investment,Committee on Education and Labor,ED00,RHOB,2176,225-3725,16,12
ED14,"Early Childhood, Elementary, and Secondary Education",Committee on Education and Labor,ED00,RHOB,2176,225-3725,8,5
FA05,"Asia, the Pacific, and Nonproliferation",Committee on Foreign Affairs,FA00,RHOB,2170,226-6434,7,5
FA07,"Western Hemisphere, Civilian Security, and Trade",Committee on Foreign Affairs,FA00,RHOB,2170,225-3345,8,6
FA13,"Middle East, North Africa, and International Terrorism",Committee on Foreign Affairs,FA00,RHOB,2170,226-7812,10,8
FA14,"Europe, Eurasia, Energy, and the Environment",Committee on Foreign Affairs,FA00,RHOB,2170,225-5021,12,10
