state,bioguideid,member_id,first_name,last_name,suffix,party,town,office,state_rank
MD,A000382,S428,Angela D.,Alsobrooks,,D,Upper Marlboro,B40E Dirksen,2
WI,B001230,S354,Tammy,Baldwin,,D,Madison,141 Hart,2
IN,B001299,S429,Jim,Banks,,R,Columbia City,B85 Russell,2
WY,B001261,S317,John,Barrasso,,R,Casper,307 Dirksen,1
CO,B001267,S330,Michael F.,Bennet,,D,Denver,261 Russell,1
TN,B001243,S396,Marsha,Blackburn,,R,Brentwood,357 Dirksen,1
CT,B001277,S341,Richard,Blumenthal,,D,Greenwich,503 Hart,1
DE,B001303,S430,Lisa,Blunt Rochester,,D,Wilmington,B40A Dirksen,2
NJ,B001288,S370,Cory A.,Booker,,D,Newark,717 Hart,1
AR,B001236,S343,John,Boozman,,R,Rogers,555 Dirksen,1
AL,B001319,S416,Katie Boyd,Britt,,R,Montgomery,502 Hart,2
NC,B001305,S417,Ted,Budd,,R,Advance,304 Russell,2
WA,C000127,S275,Maria,Cantwell,,D,Edmonds,511 Hart,2
WV,C001047,S372,Shelley Moore,Capito,,R,Charleston,170 Russell,1
LA,C001075,S373,Bill,Cassidy,,R,Baton Rouge,455 Dirksen,1
ME,C001035,S252,Susan M.,Collins,,R,Bangor,413 Dirksen,1
DE,C001088,S337,Christopher A.,Coons,,D,Wilmington,218 Russell,1
TX,C001056,S287,John,Cornyn,,R,Austin,517 Hart,1
NV,C001113,S385,Catherine,Cortez Masto,,D,Las Vegas,520 Hart,1
AR,C001095,S374,Tom,Cotton,,R,Little Rock,326 Russell,2
ND,C001096,S398,Kevin,Cramer,,R,Bismarck,313 Hart,2
ID,C000880,S266,Mike,Crapo,,R,Idaho Falls,239 Dirksen,1
TX,C001098,S355,Ted,Cruz,,R,Houston,167 Russell,2
UT,C001114,S431,John  R.,Curtis,,R,Provo,B11 Russell,2
MT,D000618,S375,Steve,Daines,,R,Belgrade,320 Hart,1
IL,D000622,S386,Tammy,Duckworth,,D,Hoffman Estates,524 Hart,2
IL,D000563,S253,Richard J.,Durbin,,D,Springfield,711 Hart,1
IA,E000295,S376,Joni,Ernst,,R,Red Oak,260 Russell,2
PA,F000479,S418,John,Fetterman,,D,Braddock,142 Russell,1
NE,F000463,S357,Deb,Fischer,,R,Lincoln,448 Russell,1
AZ,G000574,S432,Ruben,Gallego,,D,Phoenix,188 Russell,2
NY,G000555,S331,Kirsten E.,Gillibrand,,D,Albany,478 Russell,2
SC,G000359,S293,Lindsey,Graham,,R,Seneca,211 Russell,1
IA,G000386,S153,Chuck,Grassley,,R,New Hartford,135 Hart,1
TN,H000601,S407,Bill,Hagerty,,R,Nashville,251 Russell,2
NH,H001076,S388,Margaret Wood,Hassan,,D,Newfields,324 Hart,2
MO,H001089,S399,Josh,Hawley,,R,Springfield,115 Russell,1
NM,H001046,S359,Martin,Heinrich,,D,Albuquerque,709 Hart,1
CO,H000273,S408,John W.,Hickenlooper,,D,Denver,374 Russell,2
HI,H001042,S361,Mazie K.,Hirono,,D,Honolulu,109 Hart,2
ND,H001061,S344,John,Hoeven,,R,Bismarck,338 Russell,1
OH,H001104,S438,Jon,Husted,,R,Upper Arlington,198 Russell,2
MS,H001079,S395,Cindy,Hyde-Smith,,R,Brookhaven,702 Hart,2
WI,J000293,S345,Ron,Johnson,,R,Oshkosh,328 Hart,1
