bioguideid,first_name,last_name,comcode,comname,position
B001230,Tammy,Baldwin,SSAP00,Committee on Appropriations,
B001230,Tammy,Baldwin,SSHR00,"Committee on Health, Education, Labor, and Pensions",
B001230,Tammy,Baldwin,SSCM00,"Committee on Commerce, Science, and Transportation",
B001261,John,Barrasso,SSFI00,Committee on Finance,
B001261,John,Barrasso,SSFR00,Committee on Foreign Relations,
B001261,John,Barrasso,SSEG00,Committee on Energy and Natural Resources,Ranking
B001267,Michael F.,Bennet,SLIN00,Select Committee on Intelligence,
B001267,Michael F.,Bennet,SSFI00,Committee on Finance,
B001267,Michael F.,Bennet,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",
B001267,Michael F.,Bennet,SSRA00,Committee on Rules and Administration,
B001243,Marsha,Blackburn,SSJU00,Committee on the Judiciary,
B001243,Marsha,Blackburn,SSVA00,Committee on Veterans' Affairs,
B001243,Marsha,Blackburn,SSFI00,Committee on Finance,
B001243,Marsha,Blackburn,SSCM00,"Committee on Commerce, Science, and Transportation",
B001277,Richard,Blumenthal,SPAG00,Special Committee on Aging,
B001277,Richard,Blumenthal,SSAS00,Committee on Armed Services,
B001277,Richard,Blumenthal,JCSE00,Commission on Security and Cooperation in Europe,
B001277,Richard,Blumenthal,SCNC00,United States Senate Caucus on International Narcotics Control,
B001277,Richard,Blumenthal,SSJU00,Committee on the Judiciary,
B001277,Richard,Blumenthal,SSGA00,Committee on Homeland Security and Governmental Affairs,
B001277,Richard,Blumenthal,SSVA00,Committee on Veterans' Affairs,
B001288,Cory A.,Booker,SSJU00,Committee on the Judiciary,
B001288,Cory A.,Booker,SSFR00,Committee on Foreign Relations,
B001288,Cory A.,Booker,SSSB00,Committee on Small Business and Entrepreneurship,
B001288,Cory A.,Booker,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",
B001236,John,Boozman,SSAP00,Committee on Appropriations,
B001236,John,Boozman,JCSE00,Commission on Security and Cooperation in Europe,
B001236,John,Boozman,SSEV00,Committee on Environment and Public Works,
B001236,John,Boozman,SSVA00,Committee on Veterans' Affairs,
B001236,John,Boozman,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",Ranking
B001310,Mike,Braun,SPAG00,Special Committee on Aging,Ranking
B001310,Mike,Braun,SSBU00,Committee on the Budget,
B001310,Mike,Braun,SSHR00,"Committee on Health, Education, Labor, and Pensions",
B001310,Mike,Braun,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",
B001319,Katie Boyd,Britt,SSBK00,"Committee on Banking, Housing, and Urban Affairs",
B001319,Katie Boyd,Britt,SSAP00,Committee on Appropriations,
B001319,Katie Boyd,Britt,SSRA00,Committee on Rules and Administration,
B000944,Sherrod,Brown,SSBK00,"Committee on Banking, Housing, and Urban Affairs",Chairman
B000944,Sherrod,Brown,SSVA00,Committee on Veterans' Affairs,
B000944,Sherrod,Brown,SSFI00,Committee on Finance,
B000944,Sherrod,Brown,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",
B001305,Ted,Budd,SSAS00,Committee on Armed Services,
B001305,Ted,Budd,SSHR00,"Committee on Health, Education, Labor, and Pensions",
B001305,Ted,Budd,SSSB00,Committee on Small Business and Entrepreneurship,
B001305,Ted,Budd,SSCM00,"Committee on Commerce, Science, and Transportation",
C000127,Maria,Cantwell,SLIA00,Committee on Indian Affairs,
C000127,Maria,Cantwell,JSTX00,Joint Committee on Taxation,
C000127,Maria,Cantwell,SSFI00,Committee on Finance,
C000127,Maria,Cantwell,SSEG00,Committee on Energy and Natural Resources,
C000127,Maria,Cantwell,SSSB00,Committee on Small Business and Entrepreneurship,
C000127,Maria,Cantwell,SSCM00,"Committee on Commerce, Science, and Transportation",Chairman
C001047,Shelley Moore,Capito,SSAP00,Committee on Appropriations,
C001047,Shelley Moore,Capito,SSEV00,Committee on Environment and Public Works,Ranking
C001047,Shelley Moore,Capito,SSCM00,"Committee on Commerce, Science, and Transportation",
C001047,Shelley Moore,Capito,SSRA00,Committee on Rules and Administration,
C000141,Benjamin L.,Cardin,JCSE00,Commission on Security and Cooperation in Europe,
C000141,Benjamin L.,Cardin,SSEV00,Committee on Environment and Public Works,
C000141,Benjamin L.,Cardin,SSFI00,Committee on Finance,
